en,tr
"Susan Lim: Transplant cells, not organs","Susan Lim: Hücreleri naklet, organları değil"
"Using wikis and digital fabrication tools, Fellow Marcin Jakubowski is open-sourcing the blueprints for 50 farm machines, allowing anyone to build their own tractor or harvester from scratch. And that's only the first step in a project to write an instruction set for an entire self-sustaining village (starting cost: $10,000).","Küresel ve dijital üretim araçlarını kullanarak, Fellow Marcin Jakubowski, herkese kendi traktörlerini ve biçer döverlerini sıfırdan yapabilmelerini sağlayan, 50 tarım makinesi için projeleriyle açık bir kaynak.  Ve bu sadece, tümüyle kendi kendini idame ettiren köyler için bir  yönerge  seti yazma projesinin ilk adımıdır.(Başlangıç Maliyeti: 10 Bin $)"
Marcin Jakubowski: Open-sourced blueprints for civilization,Marcin Jakubowski: Uygarlık için Açık Kaynaklı Projeler
"When film critic Roger Ebert lost his lower jaw to cancer, he lost the ability to eat and speak. But he did not lose his voice. In a moving talk from TED2011, Ebert and his wife, Chaz, with friends Dean Ornish and John Hunter, come together to tell his remarkable story.","Film eleştirmeni Roger Ebert alt çenesini kansere kaybettiğinde, yeme ve konuşma yetilerini de kaybetti. Fakat sesini kaybetmedi. TED2011'den bu dokunaklı konuşmada, Ebert ve karısı Chaz, arkadaşları Dean Ornish ve John Hunter ile beraber Ebert'in olağanüstü hikayesini anlatıyorlar."
Roger Ebert: Remaking my voice,Roger Ebert: Sesimi yeniden yaratmak
"Local politics -- schools, zoning, council elections -- hit us where we live. So why don't more of us actually get involved? Is it apathy? Dave Meslin says no. He identifies 7 barriers that keep us from taking part in our communities, even when we truly care. <em>(Filmed at <a href=http://www.ted.com/tedx/events/774>TEDxToronto</a>.)</em>","Yerel politikalar - okullar, imar, konsey seçimleri tam olduğunuz yerde bize vuruyor. Peki neden daha fazlamız bu işlere karışmıyor? İlgisizlik mi bu? Dave Meslin'e göre değil. Burada, bizi gerçekten ilgileniyor da olsak toplum içinde eylemsiz kılan 7 engeli tanımlıyor."
Dave Meslin: The antidote to apathy,Dave Meslin: İlgisizliğin Panzehiri
"Backed by stunning illustrations, David Christian narrates a complete history of the universe, from the Big Bang to the Internet, in a riveting 18 minutes. This is ""Big History"": an enlightening, wide-angle look at complexity, life and humanity, set against our slim share of the cosmic timeline.","David Christian, Big Bang'den(Büyük Patlama) Internet'e gelinceye kadar evrenin tüm tarihini 18 dakikalık seri bir konuşma ve etkileyici görsellerle anlatıyor. Bu ""Muhteşem Tarih"": aydınlatan ,karmaşıklığa yukarıdan bakan, hayat ve insanlık, kozmik zaman diliminin küçük payına karşı çıkma."
David Christian: The history of our world in 18 minutes,David Christian: Muhteşem Tarih
"Jackson Browne plays a song he started writing last April aboard Mission Blue Voyage, the Sylvia Earle-inspired trip to brainstorm ways to save the ocean. ""If I could be anywhere,"" he sings, ""anywhere right now, I would be here.""  <em>(Filmed at <a href=http://www.ted.com/tedx/events/1192>TEDxGPGP</a>.)</em>","TEDxGPGP'de Jackson Browne, Sylvia Earle'den ilham aldığı okyanusları korumak için beyin fırtınasına giden yol olan gezi, Mission Blue Voyage'ın gemisinde geçtiğimiz Nisan ayında yazmaya başladığı şarkıyı söylüyor"
Jackson Browne: A song inspired by the ocean,"Jackson Browne: ""Herhangi bir yerde olabilseydim"""
"Activist Caroline Casey tells the story of her extraordinary life, starting with a revelation (no spoilers). In a talk that challenges perceptions, Casey asks us all to move beyond the limits we may think we have.","Eylemci Caroline Casey, açığa çıkan bir gerçekle (fazla detay vermeyeceğiz) başlayan, olağanüstü hayatının hikayesini anlatıyor. Algılara meydan okuyan konuşmasıyla, Casey hepimizi, var olduğunu düşündüğümüz sınırlarımızı aşmaya davet ediyor."
Caroline Casey: Looking past limits,Caroline Casey: Sınırların ötesini görmek
"The nerve disease ALS left graffiti artist TEMPT paralyzed from head to toe, forced to communicate blink by blink. In a remarkable talk at TEDActive, entrepreneur Mick Ebeling shares how he and a team of collaborators built an open-source invention that gave the artist -- and gives others in his circumstance -- the means to make art again.","Sinir hastalığı ALS grafiti sanatçısı TEMPT'i baştan ayağa felçli bıraktı, göz kırparak iletişim kurmaya zorladı. TEDActive'deki muhteşem konuşmada girişimci Mick Ebeling takımı ile birlikte, TEMPT'e ve benzer haldeki diğer sanatçıların tekrar sanat eseri oluşturmalarını sağlayacak açık kaynak buluşunu anlatıyor."
Mick Ebeling: The invention that unlocked a locked-in artist,Mick Ebeling: Kapatılmış sanatçıyı kurtaran buluş
"With humor and persistence, filmmaker Morgan Spurlock dives into the hidden but influential world of brand marketing, on his quest to make a completely sponsored film about sponsorship. (And yes, onstage naming rights for this talk were sponsored too. By whom and for how much? He'll tell you.)","Film yapımcısı Morgan Spurlock, esprili bir dille ve ısrarcı bir tavırla, sponsorluk hakkındaki filmini tamamıyla sponsorlar tarafından finanse etme arayışıyla marka pazarlamasının gizli fakat etkileyici dünyasına giriyor. ( Evet, ayrıca bu konuşmanın isim hakları da bir sponsor tarafından satın alındı. Kim tarafından ve ne kadara mı? O şimdi size söyleyecek.)"
Morgan Spurlock: The greatest TED Talk ever sold,Morgan Spurlock: Satılmış En Muhteşem TED Konuşması
"Google's ""Jolly Good Fellow,"" Chade-Meng Tan, talks about how the company practices compassion in its everyday business -- and its bold side projects.","Google'ın ""İyi adamı"" Chade-Meng Tan, şirketin her gün uygulamaya çalıştığı şefkatten ve cesur projelerinden bahsediyor."
Chade-Meng Tan: Everyday compassion at Google,Chade-Meng Tan: Google'da gündelik şefkat
Four-star general Stanley McChrystal shares what he learned about leadership over his decades in the military. How can you build a sense of shared purpose among people of many ages and skill sets? By listening and learning -- and addressing the possibility of failure.,4 yıldızlı general Stanley McChrystal onlarca yılını geçirdiği orduda liderlikle ilgili öğrendiklerini paylaşıyor. Farklı yaşlardaki ve farklı becerilere sahip insanlarda nasıl ortak bir amaç duygusu yaratırsınız? Dinleyerek ve öğrenerek -- ve başarısızlık olasılığını göz önünde bulundurarak.
"Stanley McChrystal: Listen, learn ... then lead","Stanley McChrystal: Dinle, öğren ... ve öncü ol"
"In a zippy demo at U, AnnMarie Thomas shows how two different kinds of homemade play dough can be used to demonstrate electrical properties -- by lighting up LEDs, spinning motors, and turning little kids into circuit designers.","AnnMarie Thomas bu enerjik U sunumunda, değişik içerikli ev yapımı oyun hamurları ile elektrikli araçlar yapmayı, LED'lerin nasıl yakılacağını ve küçük çocukların elektrik devresi tasarımcılarına nasıl dönüştüklerini anlatıyor."
AnnMarie Thomas: Hands-on science with squishy circuits,AnnMarie Thomas: Yumuşak devrelerle interaktif bilim
"In a moving and madly viral video last year, composer Eric Whitacre led a virtual choir of singers from around the world. He talks through the creative challenges of making music powered by YouTube, and unveils the first 2 minutes of his new work, ""Sleep,"" with a video choir of 2,052. The full piece premiered a few weeks later (yes, on YouTube!).","Geçen sene besteci Eric Whitacre, dokunaklı ve çok çabuk yayılan bir videoda, dünyanın her yerinden şarkıcıların oluşturduğu sanal bir koroyu yönetti. YouTube tarafından desteklenen müzik yapma işinin yaratıcılıkla ilgili olan zorluklarından bahsediyor ve 2052 kişiden oluşan bir video korosu ile ortaya çıkardığı yeni çalışması ""Sleep""in ilk 2 dakikasını açığa çıkarıyor. Parçanın tamamı 7 Nisanda gösterime girecek (evet, YouTube'da!)."
"Eric Whitacre: A virtual choir 2,000 voices strong",Eric Whitacre: 2000 kuvvetli sesten oluşan sanal bir koro
"Sebastian Thrun helped build Google's amazing driverless car, powered by a very personal quest to save lives and reduce traffic accidents. Jawdropping video shows the DARPA Challenge-winning car motoring through busy city traffic with no one behind the wheel, and dramatic test drive footage from TED2011 demonstrates how fast the thing can really go.","Sebastian Thrun, Google'ın, trafik kazalarını azaltmak ve hayat kurtarmak için geliştirdiği sürücüsüz aracın yapımına yardım etti. Etkileyici video, ""DARPA Challenge"" ödülünü kazanan aracın yoğun şehir trafiğinde direksiyonun başında kimse olmadan gezişini gösteriyor... Buna ek olarak TED2011'deki test sürüşünden alınmış çarpıcı kareler de arabanın gerçekte ne kadar hızlı gidebileceğini ortaya koyuyor."
Sebastian Thrun: Google's driverless car,Sebastian Thrun: Google'ın sürücüsüz aracı
"When first discovered in 2010, the Stuxnet computer worm posed a baffling puzzle. Beyond its sophistication loomed a more troubling mystery: its purpose. Ralph Langner and team helped crack the code that revealed this digital warhead's final target. In a fascinating look inside cyber-forensics, he explains how -- and makes a bold (and, it turns out, correct) guess at its shocking origins.","2010'da keşfedildiği zaman, Stuxnet bilgisayar solucanı, kafa karıştırıcı bir bulmaca ortaya koydu. Alışılmışın dışında yüksek kademedeki gelişmişliği çok daha bela açan bir gizem ortaya koydu: amacı. Ralph Langner ve takımı dijital savaş başlığının son hedefini ve gizli kapaklı temellerini açığa çıkaran kodu kırmaya yardımcı oldular. Siber-adli konulara göz alıcı bir bakışta bunun nasıl olduğu açıklanıyor."
"Ralph Langner: Cracking Stuxnet, a 21st-century cyber weapon","Ralph Langner: Stuxnet'i bozmak, 21.yy siber silahı"
"In her talk, longtime English teacher Patricia Ryan asks a provocative question: Is the world's focus on English preventing the spread of great ideas in other languages? (For instance: what if Einstein had to pass the TOEFL?) It's a passionate defense of translating and sharing ideas. <em>(Filmed at <a href=http://www.ted.com/tedx/events/1315>TEDxDubai</a>.)</em>","TEDxDubai'de, uzun süreli İngilizce öğretmeni Patricia Ryan provakatif bir soru soruyor: Dünyanın İngilizce üzerindeki odaklanması diğer dillerdeki güzel fikirlerin yayılmasını engelliyor mu?(Örnek olarak: Einstein TOEFL sınavını geçmek zorunda kalsaydı ne olurdu?)Çevirinin ve fikirleri paylaşmanın tutkulu bir savunması."
Patricia Ryan: Don't insist on English!,Patricia Ryan: İngilizce'de ısrar etmeyin!
"""The human voice: mysterious, spontaneous, primal."" With these words, soprano Claron McFadden invites us to explore the mysteries of breathing and singing, as she performs the challenging ""Aria,"" by John Cage. <em>(Filmed at <a href=http://www.ted.com/tedx/events/429>TEDxAmsterdam</a>.)</em>",""" İnsan sesi: gizemli, spontane, ve ilkel."" sözleriyle Suprano sanatçısı Claron McFadden, John Cage'in büyüleyici Aria'yı seslendirerek bizi soluk almanın ve şarkı söylemenin gizemli dünyasını keşfetmeye davet ediyor."
Claron McFadden: Singing the primal mystery,Claron McFadden: İlkel gizem şarkısını söylüyor
"Eythor Bender of Berkeley Bionics brings onstage two amazing exoskeletons, HULC and eLEGS -- robotic add-ons that could one day allow a human to carry 200 pounds without tiring, or allow a wheelchair user to stand and walk. It's a powerful onstage demo, with implications for human potential of all kinds.","Berkeley Bionics firmasından Eythor Bender, bir nevi giysi-robot olan ve bir gün insanların yorulmadan 200 pound yük taşımalarına veya tekerlekli sandalye bağımlılarının ayağa kalkıp yürümelerine olanak sağlayabilecek İKYT (İnsanlara yönelik Kapsamlı Yük Taşıyıcısı) ve e-BACAKLAR adlı dış-iskelet sistemlerini tanıtıyor. Bender, her kesimden insana hitap eden bu harika cihazlar hakkında oldukça etkili bir tanıtım yapıyor."
Eythor Bender: Human exoskeletons -- for war and healing,Eythor Bender robotik dış-iskeletleri tanıtıyor
"Bioethicist Paul Root Wolpe describes an astonishing series of recent bio-engineering experiments, from glowing dogs to mice that grow human ears. He asks: Isn't it time to set some ground rules? <em>(Filmed at <a href=http://www.ted.com/tedx/events/574>TEDxPeachtree</a>.)</em>","TEDxPeachtree'de, biyoetik uzmanı Paul Root Wolpe, melez evcil hayvanlardan, üzerinde insan kulağı yetiştirilen farelere kadar son zamanlarda gerçekleştirilen şaşırtıcı bir takım biyomühendislik deneylerinden bahsediyor. Paul bu gelişmelere karşın ""Bazı temel kurallar koymanın zamanı gelmedi mi?"" sorusunu soruyor."
Paul Root Wolpe: It's time to question bio-engineering,Paul Root Wolpe: Biyomühendisliği sorgulamanın zamanı
"With never-before-seen video, primatologist Isabel Behncke Izquierdo (a Fellow) shows how bonobo ape society learns from constantly playing -- solo, with friends, even as a prelude to sex. Indeed, play appears to be the bonobos' key to problem-solving and avoiding conflict. If it works for our close cousins, why not for us?","Daha önce hiç izlenmemiş videolarla, primatolist Isabel Behncke Izquierdo, bonobo maymun toplumunun tek kişilik, arkadaşlı, seks oyunlarından ne öğrendiklerini gösteriyor.Aslında, oyun bonoboların sorun çözme ve çatışma yönetim anahtarı olarak gözüküyor. Eğer bu onlar için tutuyorsa niye bizim için olmasın?"
"Isabel Behncke: Evolution's gift of play, from bonobo apes to humans",Isabel Behncke: Evrimin hediyesi olarak eğlence:  bonobo şempanzelerinden insanoğluna
"What was the greatest invention of the industrial revolution? Hans Rosling makes the case for the washing machine. With newly designed graphics from Gapminder, Rosling shows us the magic that pops up when economic growth and electricity turn a boring wash day into an intellectual day of reading.",Endüstri devriminin en büyük icadı nedir? Hans Rosling bunun çamaşır makinası olduğunu iddia ediyor. Gapminder tarafından yeni tasarlaranan görseller aracılığı ile bize ekonomik büyüme ve elektrik ile can sıkıcı bir çamaşır gününün okumakla geçen entellektüel bir güne dönüşebileceğini gösteriyor.
Hans Rosling: The magic washing machine,Hans Rosling ve büyülü çamaşır makinesi
"""If I should have a daughter, instead of Mom, she's gonna call me Point B ... "" began spoken word poet Sarah Kay, in a talk that inspired two standing ovations at TED2011. She tells the story of her metamorphosis -- from a wide-eyed teenager soaking in verse at New York's Bowery Poetry Club to a teacher connecting kids with the power of self-expression through Project V.O.I.C.E. -- and gives two breathtaking performances of ""B"" and ""Hiroshima.""","TED2011'de iki defa alkış yağmuruna tutulan konuşmasına şair Sarah Kay ""Bir kızım olursa, bana anne yerine, B noktası diyecek.."" diyerek başladı. Koca gözlü bir bebekten, New York'un Bowery Şiir Kulübü'nde terleyen gence sonra da V.O.I.C.E. projesiyle kendini anlatma gücüne sahip çocuklar yetiştiren bir öğretmene dönüşümünü anlatırken, ""B"" ve ""Hiroshima"" şiirl performanslarıyla nefes kesiyor."
Sarah Kay: If I should have a daughter ...,Sarah Kay: Bir Kızım Olursa ..
Lighting architect Rogier van der Heide offers a beautiful new way to look at the world -- by paying attention to light (and to darkness). Examples from classic buildings illustrate a deeply thought-out vision of the play of light around us. <em>(Filmed at <a href=http://www.ted.com/tedx/events/429>TEDxAmsterdam</a>.)</em>,Işıklandırma mühendisi Rogier van der Heide ışığa ve karanlığa dikkat çekerek dünyaya güzel ve yeni bir yönden bakmayı teklif ediyor.Işığın etrafımızdaki oyununun derince düşünüldüğü görselliğe sahip klasik binalardan örnekler sunuyor.
Rogier van der Heide: Why light needs darkness,Rogier van der Heide: Işık neden karanlığa ihtiyaç duyar
Volunteer firefighter Mark Bezos tells a story of an act of heroism that didn't go quite as expected -- but that taught him a big lesson: Don't wait to be a hero.,Gönüllü itfaiyeci Mark Bezos bizlere beklediği gibi gitmeyen kahramanlık davranışı hakkında bir hikaye anlatıyor.-- Ama bu olay kendisine büyük bir ders veriyor: Kahraman olmayı bekleme.
Mark Bezos: A life lesson from a volunteer firefighter,Mark Bezos: Gönüllü bir itfaiyeciden hayat dersleri
"We think of space as a silent place. But physicist Janna Levin says the universe has a soundtrack -- a sonic composition that records some of the most dramatic events in outer space. (Black holes, for instance, bang on spacetime like a drum.) An accessible and mind-expanding soundwalk through the universe.","Uzayın sessiz bir yer olduğunu düşünüyoruz. Ama fizikçi Janna Levin evrenin bir film müziği olduğunu söylüyor -- dış uzaydaki en etkileyici olayların kaydedildiği ses dalgalarından bir beste bu. (Mesela, kara deliklerin uzay-zamanda bir davul gibi ses çıkarması.) Evrende geçen anlaşılır ve zihni geliştiren bir ses yolculuğu."
Janna Levin: The sound the universe makes,Janna Levin: Evrenin çıkardığı ses
"Tapping into the findings of his latest book, NYTimes columnist David Brooks unpacks new insights into human nature from the cognitive sciences -- insights with massive implications for economics and politics as well as our own self-knowledge. In a talk full of humor, he shows how you can't hope to understand humans as separate individuals making choices based on their conscious awareness.","Son kitabında bulduklarından yararlanarak, NYTimes köşe yazarı David Brooks bilişsel bilimlerden insan doğasına dair yeni anlayışları ortaya koyuyor - ekonomi ve politikanın yanı sıra kendini tanıma için muazzam çıkarımlarla birlikte olan anlayışlar. Espri dolu bir konuşmada, insanların ayrı kişiler olarak bilinçli farkındalıklarına dayanarak verdikleri kararları anlamayı nasıl umamayız gerçeğini gösteriyor."
David Brooks: The social animal,David Brooks: Sosyal hayvan
"With streams and rivers drying up because of over-usage, Rob Harmon has implemented an ingenious market mechanism to bring back the water. Farmers and beer companies find their fates intertwined in the intriguing century-old tale of Prickly Pear Creek. <em>(Filmed at <a href=http://www.ted.com/tedx/events/298>TEDxRainier</a>.)</em>","Aşırı kullanım nedeniyle kuruyan dere ve nehirlere suyu geri kazandırmak için Rob Harmon dahice bir piyasa mekanizmasını hayata geçiriyor. Çiftçiler ve bira şirketleri, kaderlerinin Prickly Pear Çayı'nın yüzyıllık ilginç hikayesinde kesiştiğini keşfediyorlar."
Rob Harmon: How the market can keep streams flowing,"Rob Harmon: Piyasa, derelerin akmaya devam etmesini nasıl sağlar?"
"MIT researcher Deb Roy wanted to understand how his infant son learned language -- so he wired up his house with videocameras to catch every moment (with exceptions) of his son's life, then parsed 90,000 hours of home video to watch ""gaaaa"" slowly turn into ""water."" Astonishing, data-rich research with deep implications for how we learn.","MIT araştırmacısı Deb Roy, yeni doğmuş oğlunun konuşmayı nasıl öğrendiğini anlamak istedi -- oğlunun yaşantısındaki her bir anı (istisnalar hariç) yakalamak için evini video kameralarla donatarak 90.000 saatlik video kayıtlarını detaylı bir şekilde analiz ederek oğlunun çıkardığı ""gaaaa"" kelimesinin zamanla ""water"" (su)'ya dönüşmesini izledi. Nasıl öğrendiğimizle çok ilintili, büyüleyici, veriden zengin bir araştırma."
Deb Roy: The birth of a word,Deb Roy: Bir kelimenin doğuşu
"Salman Khan talks about how and why he created the remarkable Khan Academy, a carefully structured series of educational videos offering complete curricula in math and, now, other subjects. He shows the power of interactive exercises, and calls for teachers to consider flipping the traditional classroom script -- give students video lectures to watch at home, and do ""homework"" in the classroom with the teacher available to help.","Salman Khan takdir görmeyi hak eden -dikkatli bir biçimde yapılandırılmış , matematik ve artık diğer konuları da içeren müfredatlara sahip eğitici videolar- Khan Akademi'yi nasıl ve neden kurduğunu anlatıyor.Etkileşimli örneklerin gücünü gösteriyor ve öğretmenlere, klasik sınıfta yapılan derslerden, öğrencinin evde videolardan çalışıp sonra ödev kısmını sınıfta öğretmen ile birlikte yapacağı sisteme geçişin çağrısını yapıyor."
Salman Khan: Let's use video to reinvent education,Salman Khan: Eğitimi yeniden icat etmek için videoyu kullanalım.
"Blogger Courtney Martin examines the perennially loaded word ""feminism"" in this personal and heartfelt talk. She talks through the three essential paradoxes of her generation's quest to define the term for themselves.","Blogçu Courtney Martin, bu kişisel ve içten konuşmasında, her daim manidar ""feminizm"" kelimesini tartışıyor. Bunu, kendi kuşağının aynı terimi kendilerince tanımlama arayışında karşılaştığı üç temel çelişkiyi anlatarak yapıyor."
Courtney Martin: This isn't her mother's feminism,Courtney Martin: Feminizmi yeniden keşfetmek
"Surgeon Anthony Atala demonstrates an early-stage experiment that could someday solve the organ-donor problem: a 3D printer that uses living cells to output a transplantable kidney. Using similar technology, Dr. Atala's young patient Luke Massella received an engineered bladder 10 years ago; we meet him onstage.","Cerrah Anthony Atala, ileride organ bağışı sorununu çözmeye yarayabilecek bir deneyin ilk safhaları üzerinde çalışıyor: Yaşayan böbrek hücrelerini kullanarak nakledilebilen bir böbrek basan 3 boyutlu bir yazıcı. Dr.Atala'nın genç hastası Luke Massella, bundan 10 yıl önce benzer bir teknoloji ile yapay bir mesaneye kavuşmuştu; sahnede onunla da tanışıyoruz."
Anthony Atala: Printing a human kidney,Anthony Atala: Bir insan böbreği çıktısı almak
"America's school systems are funded by the 50 states. In this fiery talk, Bill Gates says that state budgets are riddled with accounting tricks that disguise the true cost of health care and pensions and weighted with worsening deficits -- with the financing of education at the losing end.",Amarika'nın okul sistemi 50 eyalet tarafından kuruldu. Ateşli konuşmasında Bill Gates eyalet bütçelerinin sağlık ve emeklilik sisteminin gerçek masraflarını saklayan muhasebe hileleriyle karma karışık bir hale getirildiğini ve açıklarla - kaybeden tarafında eğitimi koyarak - ağırlaştırıldığını söylüyor.
Bill Gates: How state budgets are breaking US schools,Bill Gates: Eyalet bütçeleri Amerikan okullarını nasıl etkiliyor
"Wael Ghonim is the Google executive who helped jumpstart Egypt's democratic revolution ... with a Facebook page memorializing a victim of the regime's violence. Speaking at TEDxCairo, he tells the inside story of the past two months, when everyday Egyptians showed that ""the power of the people is stronger than the people in power.""","Wael Ghonim, Mısırdaki şiddet rejiminin bir kurbanının anısına Facebook'ta oluşturduğu sayfa ile Mısırdaki demokrasi devriminin başlamasına ön ayak olan, üst düzey bir Google yöneticisidir. Kendisi, TEDxCairo'daki konuşmasında, son iki ayda gerçekleşen ve sıradan Mısırlıların ""İnsanların gücünün iktidardakilerin gücünden çok daha kuvvetli"" olduğunu gösterdiği olayların iç yüzünü anlatıyor."
Wael Ghonim: Inside the Egyptian revolution,Mısır'daki Devrimin İç Yüzü
"JR, a semi-anonymous French street artist, uses his camera to show the world its true face, by pasting photos of the human face across massive canvases. At TED2011, he makes his audacious Prize wish: to use art to turn the world inside out. Learn more about his work and learn how you can join in at insideoutproject.net.","Yarı anonim bir Fransız sokak sanatçısı olan JR, insan suratı fotoğraflarını muazzam boyutlardaki tuvallere yapıştırıyor ve dünyanın gerçek yüzünü göstermek için fotoğraf makinesini kullanıyor. 2011'de cürektar bir TED Prize dileği diledi: sanatı kullanarak dünyayı ters düz edin. Eserleri hakkında daha fazla bilgi edinmek ve nasıl katkıda bulunabileceğinizi öğrenmek için insideoutproject.net adresini ziyaret edin."
JR: My wish: Use art to turn the world inside out,JR'nin TED Prize dileği: Sanatı kullanarak dünyayı ters düz edin
"As a democratic revolution led by tech-empowered young people sweeps the Arab world, Wadah Khanfar, the head of Al Jazeera, shares a profoundly optimistic view of what's happening in Egypt, Tunisia, Libya and beyond -- at this powerful moment when people realized they could step out of their houses and ask for change.","Gücünü teknolojiden alan gençlerin liderliğini sürdürdüğü demokratik bir devrim Arap dünyasını çalkalarken, El Cezire'nin başındaki Wadah Khanfar, Mısır, Tunus, Libya ve diğer ülkelerde neler olup bittiğini -insanların evlerinden çıkıp değişim talep edebileceklerini gördükleri bu kritik dönüm noktasında-  son derece iyimser bir bakış açısı ile bizlerle paylaşıyor."
Wadah Khanfar: A historic moment in the Arab world,Wadah Khanfar: Arap dünyasında tarihi bir an
"The three Ahn sisters (cellist Maria, pianist Lucia, violinist Angella) breathe new life into the piano trio with their passionate musicmaking. At TEDWomen, they start with the bright and poppy ""Skylife,"" by David Balakrishnan, then play a gorgeous, slinky version of ""Oblivion,"" by Astor Piazzolla.","3 Ahn kızkardeşler( viyolonsel Maria, piyanist Lucia, kemancı Angella) tutkulu müzikleri ile piyano üçlüsüne yeni bir hayat kazandırıyor. TEDWomen'da, canlı ve renkli David Balakrishnan'ın ""Skylife,"" ile başlıyorlar, sonra Astor Piazolla'dan Oblivion'nun muhteşem gizli bir versiyonunu çalıyorlar."
"Ahn Trio: A modern take on piano, violin, cello","Ahn Trio: Modern piano, keman, çello üzerine"
"Danny Hills makes a case for the next frontier of cancer research: proteomics, the study of proteins in the body. As Hillis explains it, genomics shows us a list of the ingredients of the body -- while proteomics shows us what those ingredients produce. Understanding what's going on in your body at the protein level may lead to a new understanding of how cancer happens.","Danny Hills kanser araştırmalarını yeni bir ufuğa taşıyacak bir konudan bahsediyor: Proteomik bilim, yani vücuttaki proteinler inceleyen bilim dalı. Hills'in açıklamasına göre, genomik bilimi bize vücuttaki bileşenlerin bir listesini veriyor -- ama proteomik bilimi bu bileşenlerin neler ürettiğini gösteriyor. Vücudunuzda olup biteni proteinler seviyesinde anlamaya başladığınızda, bu kanserin neden oluştuğunu anlamamıza ışık tutabilir."
Danny Hillis: Understanding cancer through proteomics,Danny Hills: Proteomikler aracılığı ile kanseri anlamak
"It's been said that when an elder dies, it's as if a library is burned. Anthropologist Elizabeth Lindsey, a National Geographic Fellow, collects the deep cultural knowledge passed down as stories and lore.","Yaşlı birinin ölmesi, bir kütüphanenin yanması gibidir derler. Antropolojist Elizabeth Lindsey, bir National Geographic üyesi, hikayeler ve bilgiler şeklinde aktarılan derin kültürel irfanı topluyor."
Elizabeth Lindsey: Curating humanity's heritage,Elizabeth Lindsey: İnsanlığın Mirasını Korumak
"Facial surgeon Iain Hutchison works with people whose faces have been severely disfigured. By pushing to improve surgical techniques, he helps to improve their lives; and by commissioning their portraits, he celebrates their humanity. NOTE: This talk contains images of disfigured and badly injured faces that may be disturbing -- and Hutchison provides thoughtful answers as to why a disfigured face can shock us so deeply. Squeamish? Hide your screen from 12:10 - 13:19, but do keep listening. Portraits shown in this talk come from Mark Gilbert.","Yüz cerrahi Iain Hutchison, yüzleri ciddi biçimde şekil bozukluğuna uğramış insanlarla çalışmaktadır. Cerrahi teknikleri geliştirmeye zorlayarak, onların hayatlarını iyileştirmeye yardım etmektedir; ve portrelerini görevlendirmek aracılığıyla, onların insanlıklarını kutlamaktadır. NOT: Bu konuşma, rahatsız edici olabilecek, şekilleri bozulmuş ve ağır yaralanmış yüz görüntüleri içermektedir-- ve Hutchison şekli bozulmuş bir yüzün bizi neden derinden sarsabileceği sorusuna düşünceli cevaplar sunmaktadır. Aşırı hassas mısınız? 12:10-13:19 arasında ekranı saklayın ancak dinlemeye devam edin."
Iain Hutchison: Saving faces: A plastic surgeon's craft,Iain Hutchison: Yüzleri kurtarmak
"We make important decisions every day -- and we often rely on experts to help us decide. But, says economist Noreena Hertz, relying too much on experts can be limiting and even dangerous. She calls for us to start democratizing expertise -- to listen not only to ""surgeons and CEOs, but also to shop staff.""","Her gün önemli kararlar veriyoruz -- ve karar verirken sıklıkla uzmanların yardımına başvuruyoruz. Ama, diyor ekonomist Noreena Hertz, uzmanlara çok fazla güvenmek sınırlayıcı ve hatta tehlikeli olabilir. Bizleri uzmanlığı demokratikleştirmeye davet ediyor - sadece 'cerrahları ve CEO'ları değil, aynı zamanda satıcıları da dinlemeye.'"
Noreena Hertz: How to use experts -- and when not to,Noreena Hertz: Uzmanları nasıl kullanmalı - ve ne zaman kullanmamalı
"Former US Secretary of State Madeleine Albright talks bluntly about politics and diplomacy, making the case that women's issues deserve a place at the center of foreign policy. Far from being a ""soft"" issue, she says, women's issues are often the very hardest ones, dealing directly with life and death. A frank and funny Q&A with Pat Mitchell from the Paley Center.","Amerika Birleşik Devletleri eski dışişleri bakanı Madeleine Albright politika ve diplomasi hakkında cesurca konuşurken, kadın sorunlarının dış politikanın merkezinde bir yere sahip olduğunu iddia ediyor. Önemsiz bir konu olmanın aksine, kadın sorunlarının genellikle yaşam ve ölümle doğrudan ilgili olup en ciddi sorunlardan olduğunu söylüyor. Paley Center'da Pat Mitchell ile samimi ve komik bir söyleşi."
Madeleine Albright: On being a woman and a diplomat,Madeleine Albright: Kadın ve diplomat olmak üzerine
"Lisa Gansky, author of ""The Mesh,"" talks about a future of business that's about sharing all kinds of stuff, either via smart and tech-enabled rental or, more boldly, peer-to-peer. Examples across industries -- from music to cars -- show how close we are to this meshy future.","MotorCity'deki TED'de ""Elek"" kitabının yazarı Lisa Gansky, şirketlerin gelebileceği bir modelden bahsediyor. Bu model her şeyin teknoloji yardımıyla ya da yüzyüze paylaşımına dayanıyor. Müzik, araba endüstrisi gibi çeşitli alanlardan örnekler de bizim aslında bu elek sistemine ne kadar da yakın olduğumuzu gösteriyor."
"Lisa Gansky: The future of business is the ""mesh""","Lisa Gansky: Şirketlerin geleceği: ""elek""."
